Year,Startup,Sector,City,Investment_Type,Funding_Amount_MillionUSD,Funding_Amount_USD
2015,Startup_1,SpaceTech,Bengaluru,Angel,195.19,195190000.0
2015,Startup_2,FinTech,Gurgaon,Angel,469.27,469270000.0
2015,Startup_3,AI,Bengaluru,Series B,402.53,402530000.0
2015,Startup_4,Gaming,Delhi,Series E,648.32,648320000.0
2015,Startup_5,HealthTech,Kolkata,Series E,730.76,730760000.0
2015,Startup_6,FinTech,Noida,Seed,362.51,362510000.0
2015,Startup_7,SaaS,Noida,Series D,234.38,234380000.0
2015,Startup_8,AgriTech,Noida,Series C,290.07,290070000.0
2015,Startup_9,SaaS,Mumbai,Angel,76.09,76090000.0
2015,Startup_10,AgriTech,Noida,Private Equity,61.25,61250000.0
2015,Startup_11,FoodTech,Pune,Series F,766.9,766900000.0
2015,Startup_12,SaaS,Noida,Series E,345.46,345460000.0
2015,Startup_13,Mobility,Noida,Series B,349.14,349140000.0
2015,Startup_14,EdTech,Kolkata,Pre-Seed,3.66,3660000.0
2015,Startup_15,EdTech,Hyderabad,Private Equity,770.65,770650000.0
2015,Startup_16,CleanTech,Noida,Series E,359.55,359550000.0
2015,Startup_17,E-commerce,Kolkata,Series D,121.59,121590000.0
2015,Startup_18,E-commerce,Mumbai,Series A,493.86,493860000.0
2015,Startup_19,E-commerce,Pune,Series E,383.75,383750000.0
2015,Startup_20,Gaming,Gurgaon,Seed,727.14,727140000.0
2015,Startup_21,FinTech,Bengaluru,Series F,273.63,273630000.0
2015,Startup_22,SpaceTech,Mumbai,Private Equity,216.37,216370000.0
2015,Startup_23,Gaming,Pune,Series D,158.01,158010000.0
2015,Startup_24,Mobility,Hyderabad,Pre-Seed,792.04,792040000.0
2015,Startup_25,SaaS,Hyderabad,Series E,619.61,619610000.0
2015,Startup_26,FinTech,Delhi,Angel,163.7,163700000.0
2015,Startup_27,SpaceTech,Bengaluru,Private Equity,647.78,647780000.0
2015,Startup_28,SaaS,Chennai,Series D,242.22,242220000.0
2015,Startup_29,HealthTech,Kolkata,Pre-Seed,682.43,682430000.0
2015,Startup_30,Mobility,Pune,Series A,638.53,638530000.0
2015,Startup_31,AgriTech,Noida,Seed,4.62,4620000.0
2015,Startup_32,EdTech,Delhi,Angel,333.71,333710000.0
2015,Startup_33,Gaming,Hyderabad,Series D,13.35,13350000.0
2015,Startup_34,AgriTech,Gurgaon,Series C,755.86,755860000.0
2015,Startup_35,E-commerce,Mumbai,Series A,783.25,783250000.0
2015,Startup_36,HealthTech,Mumbai,Series B,29.65,29650000.0
2015,Startup_37,SaaS,Noida,Series A,240.14,240140000.0
2015,Startup_38,CleanTech,Gurgaon,Series C,135.84,135840000.0
2015,Startup_39,SpaceTech,Noida,Pre-Seed,127.43,127430000.0
2015,Startup_40,Mobility,Hyderabad,Angel,172.57,172570000.0
2015,Startup_41,HealthTech,Gurgaon,Angel,97.19,97190000.0
2015,Startup_42,AgriTech,Kolkata,Private Equity,476.01,476010000.0
2015,Startup_43,EdTech,Delhi,Series A,657.37,657370000.0
2015,Startup_44,Gaming,Pune,Angel,715.98,715980000.0
2015,Startup_45,FoodTech,Gurgaon,Pre-Seed,361.64,361640000.0
2015,Startup_46,EdTech,Hyderabad,Pre-Seed,219.66,219660000.0
2015,Startup_47,FoodTech,Noida,Series A,632.44,632440000.0
2015,Startup_48,E-commerce,Chennai,Private Equity,13.75,13750000.0
2015,Startup_49,AI,Bengaluru,Series F,386.29,386290000.0
2015,Startup_50,E-commerce,Gurgaon,Series F,125.85,125850000.0
