Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date,Incubation Center,Name of the startup,Location of company,Sector,Company profile,Year,Allocation of Funds under SISFS (in Rs. crore),Funds Approved under SISFS (in Rs. crore),States/UT,2020,2021,2022,Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
Housejoy,EdTech,K12,Mumbai,Lightspeed India,Seed,199000.0,19-04-2023,,,,,,,,,,,,,,,,,,,,,
Groww,Media,Streaming,Bengaluru,IFC,Seed,1668000.0,28-01-2025,,,,,,,,,,,,,,,,,,,,,
Groww,Mobility,Ride Sharing,Hyderabad,"Nexus Venture Partners, Peak XV",Series B,38052000.0,14-03-2021,,,,,,,,,,,,,,,,,,,,,
FarmBox,Consumer Electronics,Wearables,Gurugram,"Kalaari Capital, Y Combinator",Seed,455000.0,11-09-2023,,,,,,,,,,,,,,,,,,,,,
Udaan,RealEstate,Rental Tech,Mumbai,Bessemer Venture Partners,Seed,89000.0,31-01-2024,,,,,,,,,,,,,,,,,,,,,
AeroStack,EdTech,Coding Bootcamp,Delhi,"Matrix Partners India, Peak XV",Pre-Series A,143000.0,24-07-2021,,,,,,,,,,,,,,,,,,,,,
Ola,Retail,Fashion,Mumbai,Tiger Global Management,Seed,62000.0,12-01-2023,,,,,,,,,,,,,,,,,,,,,
FinSpace,Consumer Electronics,Wearables,Gurugram,Blume Ventures,Growth,491721000.0,22-01-2025,,,,,,,,,,,,,,,,,,,,,
Rapido,FoodTech,Food Delivery,Kolkata,"A91 Partners, Kedaara Capital, Tiger Global Management",Seed,459000.0,27-11-2023,,,,,,,,,,,,,,,,,,,,,
HyperLoop,EdTech,Test Prep,Ahmedabad,"Mirae Asset, SoftBank Vision Fund, Tiger Global",Series B,35610000.0,04-05-2020,,,,,,,,,,,,,,,,,,,,,
NextSense_10,Mobility,Ride Sharing,Delhi,"IFC, Kalaari Capital, Peak XV",Seed,54000.0,19-05-2020,,,,,,,,,,,,,,,,,,,,,
LogiMart,FinTech,NeoBank,Mumbai,"Falcon Edge, Peak XV",Pre-Series A,933000.0,10-04-2023,,,,,,,,,,,,,,,,,,,,,
CoreFlow,SaaS,DevTools,Hyderabad,"Elevation Capital, SoftBank Vision Fund, Ventures India",Pre-Series A,680000.0,07-10-2023,,,,,,,,,,,,,,,,,,,,,
Groww,FinTech,InsurTech,Ahmedabad,Falcon Edge,Debt,374000.0,23-07-2020,,,,,,,,,,,,,,,,,,,,,
ClearDekho,Logistics,Last Mile,Pune,Y Combinator,Private Equity,151993000.0,05-12-2024,,,,,,,,,,,,,,,,,,,,,
NextSense,Mobility,Micro Mobility,Hyderabad,"A91 Partners, Falcon Edge, Prosus Ventures",Series A,1643000.0,10-07-2024,,,,,,,,,,,,,,,,,,,,,
Zomato,HealthTech,Pharmacy,Mumbai,"Blume Ventures, Elevation Capital",Private Equity,201485000.0,29-02-2024,,,,,,,,,,,,,,,,,,,,,
FarmTech,EdTech,UpSkilling,Noida,Accel,Series A,4142000.0,28-01-2025,,,,,,,,,,,,,,,,,,,,,
Innovaccer,Enterprise,Security,Bengaluru,Ribbit Capital,Pre-Seed,54000.0,28-04-2024,,,,,,,,,,,,,,,,,,,,,
CureFit,HealthTech,Health Analytics,Noida,Accel,Series B,11211000.0,22-02-2023,,,,,,,,,,,,,,,,,,,,,
WorkPay,Enterprise,Security,Ahmedabad,Tiger Global,Series A,5243000.0,30-05-2022,,,,,,,,,,,,,,,,,,,,,
